Recorder,Today's Date,Date ,Time,Phenostage ,Observer,Notes,Native_Type,Stem_Type,Flower_Type,Species
"Av,ML,TC,CT,JJ,KS",11/8/19,3/11/19,9:30,4,avanwinden,*skipped 4 b/c not usable,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/6/19,10:20,5,janninechamorro,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/6/19,10:37,4,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/6/19,10:39,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/1/19,15:13,4,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/6/19,11:03,4,pataxte,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,10:31,4,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,10:32,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,10:33,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,11:56,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,12:01,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/8/19,11:36,6,janninechamorro,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/9/19,10:52,4,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/9/19,10:53,6,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/9/19,18:00,4,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/10/19,10:47,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/10/19,13:34,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/6/19,10:21,6,demacha,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/13/19,11:52,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/15/19,13:46,4,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/17/19,10:46,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/17/19,10:47,4,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/22/19,13:33,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/20/19,13:35,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,4/29/19,13:37,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:36,5,sarahg9,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:29,6,bates550,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:53,6,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:45,5,kseltmann,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:28,5,michellelee,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/5/19,10:38,5,bates550,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/8/19,15:11,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/8/19,15:21,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/10/19,10:12,5,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/10/19,14:16,6,michellelee,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/13/19,13:41,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,10/15/19,10:37,7,taylorc,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/22/19,13:42,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,5/29/19,14:13,6,michellelee,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,6/5/19,13:27,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
"Av,ML,TC,CT,JJ,KS",11/8/19,6/5/19,13:29,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,6/7/19,14:56,6,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,6/7/19,14:34,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,6/7/19,14:57,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,9/26/19,10:24,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,8/13/19,17:44,6,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,8/13/19,17:46,7,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,10/10/19,8:57,7,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,10/19/19,11:08,4,joseyj,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,10/21/19,18:35,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:16,1,behmrachel,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:17,7,behmrachel,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:34,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:58,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/21/19,10:39,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/21/19,10:41,7,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:34,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/16/19,10:35,4,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:30,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:55,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:56,6,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:56,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:57,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,11/24/19,11:55,7,charliethrift,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,12/5/19,9:33,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,12/5/19,9:34,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,12/13/19,9:36,7,michellelee,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/7/20,13:28,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/7/20,13:28,7,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/7/20,13:29,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/7/20,13:30,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/7/20,13:31,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:31,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:36,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:37,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:54,1,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:31,3,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/11/20,10:35,5,taylorc,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/13/20,13:34,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/13/20,13:35,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/13/20,13:35,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/13/20,13:36,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/22/20,13:25,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/22/20,13:26,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/22/20,13:27,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/23/20,13:44,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/23/20,13:43,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/23/20,13:43,2,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/27/20,13:37,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/27/20,13:38,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/27/20,13:39,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/28/20,9:04,3,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/28/20,9:04,3,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,1/29/20,10:46,3,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,2/3/20,13:25,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,2/3/20,13:25,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,2/25/20,2/3/20,13:26,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/5/20,10:48,4,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/5/20,10:50,3,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/5/20,11:28,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/5/20,11:29,3,avanwinden,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/7/20,12:19,3,jaggerjoyner,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/9/20,10:26,3,nafikhan,,non-native,herbacious,single,Trailing African Daisy 
Volunteers,4/6/20,2/9/20,10:11,4,taylorc,,non-native,herbacious,single,Trailing African Daisy 
