Recorder,Today's Date,Date ,Time,Phenostage ,Observer,notes,Native_Type,Stem_Type,Flower_Type,Species
"ML, JJ, Av, CT",22-Nov-19,3/15/19,9:49,3,avanwinden,*2 observations deleted because unable to assess,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:18,4,demacha,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:36,6,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:42,5,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,14:42,3,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,14:40,4,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,14:29,3,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:22,4,Sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:19,4,sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:50,5,pataxte,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:13,4,kseltmann,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,11:23,5,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,8:58,4,kseltmann,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:52,3,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:46,4,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:40,5,janninechamorro,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:38,4,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:37,4,an_bui,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:24,2,sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/6/19,10:15,4,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/8/19,10:33,4,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/9/19,18:13,6,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/9/19,18:10,5,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/13/19,11:44,5,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/13/19,11:20,6,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/17/19,12:35,2,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/19/19,10:20,5,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,4/22/19,21:57,4,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:33,5,elizabethortiz1,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:33,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:20,5,fhjoyce,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:29,5,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:25,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:19,5,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:29,5,bates550,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:47,7,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:38,6,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:37,4,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:33,4,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:32,6,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:44,6,sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:11,6,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/5/19,10:41,5,sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/6/19,11:12,6,sarahg9,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/8/19,12:16,6,katyj183,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/10/19,15:14,5,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/10/19,10:29,6,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,5/24/19,14:04,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,6/7/19,15:42,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,6/7/19,15:55,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,7/18/19,13:45,7,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,8/13/19,15:40,7,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,9/26/19,9:52,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/10/19,8:58,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/10/19,8:59,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/10/19,8:59,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:25,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:28,7,laurenharris1,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:32,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:43,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:46,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:50,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:50,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/19/19,10:52,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,10/21/19,15:56,7,jaggerjoyner,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:31,7,behmrachel,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:33,7,behmrachel,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:41,7,behmrachel,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:44,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:53,7,behmrachel,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:22,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:22,6,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:24,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:51,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:22,7,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/16/19,10:49,1,taylorc,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/21/19,10:40,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/21/19,10:42,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
"ML, JJ, Av, CT",22-Nov-19,11/21/19,10:42,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/16/19,10:49,1,taylorc,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,10:40,6,charliethrift,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,11:11,7,michellelee,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,11:12,6,michellelee,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,10:42,7,charliethrift,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,10:53,7,charliethrift,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,10:54,7,charliethrift,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,11/24/19,12:00,1,charliethrift,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/5/19,9:21,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/5/19,9:22,6,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/5/19,9:27,7,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/5/19,9:27,2,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/5/19,9:33,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/11/19,13:47,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
Volunteers,25-Feb-20,12/11/19,13:47,1,avanwinden,,non-native,wood,inflorescence,Pride of Madeira
