Recorder,Today's Date,Date ,Time,Phenostage ,Observer,notes,Native_Type,Stem_Type,Flower_Type,Species
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:38,4,sarahg9,*1 removed,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:43,4,janninechamorro,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:54,4,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:26,3,charliethrift,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:38,5,charliethrift,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:45,3,charliethrift,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:43,4,katekathrynkat,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,9:39,4,janninechamorro,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,14:28,4,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,14:54,4,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:42,3,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:39,4,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:33,4,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/8/19,14:32,4,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/9/19,18:12,5,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:40,4,michellelee,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/6/19,10:44,4,demacha,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:41,3,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:42,5,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/11/19,16:43,3,jaggerjoyner,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/13/19,11:18,4,avanwinden,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/13/19,11:39,4,avanwinden,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/17/19,10:37,3,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/19/19,10:12,4,michellelee,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/24/19,13:15,5,avanwinden,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/22/19,10:53,3,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,4/26/19,15:05,4,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:27,3,behmarchel,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:18,3,charliethrift,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:43,6,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:44,6,taylorc,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:56,4,avanwinden,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,11:01,5,fhjoyce,design ,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:58,4,kseltman,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:47,4,michellelee,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/5/19,10:47,5,elizabethortiz1,,native,herbacious,single,California Poppy
"JJ,ML,TC,CT, Av",6-Dec-19,5/10/19,10:22,4,avanwinden,,native,herbacious,single,California Poppy
