Recorder,Today's Date,Date ,Time,Phenostage ,Observer,Notes,Native_Type,Stem_Type,Flower_Type,Species
Volunteers,2/12/20,3/11/19,9:25,4,avanwinden,* 8 removed ,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:18,6,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:20,5,an_bui,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:30,6,an_bui,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:27,5,pataxte,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,11:01,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:35,4,kseltmann,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,10:38,4,pataxte,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/6/19,11:10,5,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/8/19,11:11,5,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/8/19,11:53,4,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/8/19,13:00,5,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/9/19,11:50,4,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/9/19,11:56,5,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/9/19,14:47,4,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/9/19,13:23,6,sarahg9,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/9/19,18:21,6,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/10/19,10:43,6,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/10/19,12:08,5,janninechamorro,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/17/19,15:20,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/17/19,15:34,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/22/19,13:29,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/22/19,13:38,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/22/19,15:16,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/23/19,10:46,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/24/19,15:14,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/24/19,16:01,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,4/29/19,13:39,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/1/19,13:10,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/1/19,10:17,7,sarahg9,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/5/19,10:38,7,jaggerjoyner,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/6/19,8:56,6,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/6/19,9:46,6,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/10/19,10:40,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/10/19,14:27,6,michellelee,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/10/19,14:16,6,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/13/19,13:44,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/15/19,10:35,7,taylorc,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/20/19,13:21,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,5/22/19,13:45,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,9/26/19,10:02,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
Volunteers,2/12/20,9/26/19,10:03,7,avanwinden,,non-native,wood,inflorescence,Indian Hawthorn
