Recorder,Today's Date,Date ,Time,Phenostage ,Observer,Notes,Native_Type,Stem_Type,Flower_Type,Species
Volunteers,2/12/20,4/6/19,10:23,7,mckenziesime,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/6/19,10:31,4,mckenziesime,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/11/19,16:30,7,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/11/19,16:40,7,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/17/19,12:32,6,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/17/19,12:32,6,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/19/19,10:08,6,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,4/22/19,19:55,6,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/5/19,10:28,6,kseltmann,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/5/19,10:33,1,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/16/19,16:35,1,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/16/19,16:38,1,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/16/19,16:38,6,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,5/24/19,1:28,2,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,6/7/19,16:08,1,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,6/7/19,16:09,7,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,7/19/19,12:53,7,andrewk101,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,10/19/19,10:24,2,lordhuron,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,10/19/19,10:42,7,lordhuron,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,11/16/19,10:24,2,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,12/18/19,13:23,2,michellelee,,native,wood,inflorescence,Lemonade Berry
Angela,4/15/20,1/11/20,10:16,2,michellelee,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:19,2,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:25,3,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:25,2,charilethrift,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:26,3,conormcmahon,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:18,2,conormcmahon,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:17,2,conormcmahon,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,10:58,2,conormcmahon,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/11/20,11:24,2,conormcmahon,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/23/20,8:02,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/23/20,8:03,2,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/23/20,9:13,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/23/20,15:16,2,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/29/20,11:01,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/29/20,11:02,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/30/20,11:15,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/31/20,10:23,3,jaggerjoyner,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/31/20,13:43,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/31/20,13:44,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/31/20,13:53,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
Volunteers,2/12/20,1/31/20,13:53,3,avanwinden,,native,wood,inflorescence,Lemonade Berry
