Recorder,Recording Date,Date ,Time,Phenostage ,Observer,Native_Type,Stem_Type,Flower_Type,Species
Volunteers,2/25/20,4/6/19,10:20,5,mckenziesime,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:24,5,mckenziesime,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:30,5,mckenziesime,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:38,5,mckenziesime,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:48,5,mckenziesime,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:48,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:20,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:30,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:31,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:40,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:22,1,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/6/19,10:20,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/8/19,9:33,5,janninechamorro,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,3/29/19,18:19,5,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:23,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:25,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/11/19,16:50,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/11/19,14:55,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/14/19,8:14,4,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,10:35,5,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:19,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:22,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:23,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:24,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:27,3,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/17/19,12:31,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/19/19,10:09,5,michellelee,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/19/19,19:07,5,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/28/19,19:24,6,jaggerjoyner,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/26/19,15:05,5,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,4/26/19,15:06,5,taylorc,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:14,5,fhjoyce,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:37,6,an_bui,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:14,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:19,6,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:33,5,avanwinden,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:44,5,kseltmann,native,herbacious,head,California Brittlebush
Volunteers,2/25/20,5/5/19,10:44,5,elntangle,native,herbacious,head,California Brittlebush
