id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,day,trans,…,daycycle
21149213,b1734a8b-ceed-4f82-beb2-9b47c0c2599a,Mon Mar 11 2019 09:35:20 GMT-0700 (PDT),2019-03-11,2019-03-12 01:35:20 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 02:42:23 +0900,2023-02-25 10:20:26 +0900,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21149213,https://inaturalist-open-data.s3.amazonaws.com/photos/32693854/medium.jpg,,,,2,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.411725,-119.8426583,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,lupines,Lupinus,lupines,Plantae,47121,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Genisteae,,Lupinus,,,,,,,2019-03-11,2019-01-01,1,1
21150111,8de26e00-0c41-4950-997f-aaf149d04570,Mon Mar 11 2019 09:30:53 GMT-0700 (PDT),2019-03-11,2019-03-12 01:30:53 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:15:23 +0900,2019-05-04 15:25:06 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150111,https://inaturalist-open-data.s3.amazonaws.com/photos/32695259/medium.jpg,,,,1,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41293333,-119.8420783,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,trailing African daisy,Dimorphotheca fruticosa,trailing African daisy,Plantae,76661,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Calenduleae,,Dimorphotheca,,Dimorphotheca fruticosa,,,,,2019-03-11,2019-01-01,1,1
21150164,66498cb4-66e9-4be5-ac84-6eb5f3032b81,Mon Mar 11 2019 09:23:03 GMT-0700 (PDT),2019-03-11,2019-03-12 01:23:03 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:16:56 +0900,2021-03-01 18:32:34 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150164,https://inaturalist-open-data.s3.amazonaws.com/photos/32695348/medium.jpg,,,,3,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41388333,-119.8433617,65,,,,65,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Fortnight Lily,Dietes grandiflora,Large Fortnight Lily,Plantae,291342,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Irideae,,Dietes,,Dietes grandiflora,,,,,2019-03-11,2019-01-01,1,1
21150696,92dd74c0-b15e-4c2e-b71e-58de44cd8e71,Mon Mar 11 2019 09:22:21 GMT-0700 (PDT),2019-03-11,2019-03-12 01:22:21 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:35:30 +0900,2022-01-11 20:20:35 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150696,https://inaturalist-open-data.s3.amazonaws.com/photos/32696311/medium.jpg,,,,3,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41358667,-119.8440333,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Geranium family,Geraniaceae,Geranium family,Plantae,47689,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,,,,,,,,2019-03-11,2019-01-01,1,1
21150723,85427062-899e-476e-a3af-64759bbb3c50,Mon Mar 11 2019 09:25:21 GMT-0700 (PDT),2019-03-11,2019-03-12 01:25:21 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:36:24 +0900,2019-10-14 14:18:01 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150723,https://inaturalist-open-data.s3.amazonaws.com/photos/32696349/medium.jpg,,,,1,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41375333,-119.8432917,65,,,,65,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Indian Hawthorn,Rhaphiolepis indica,Indian Hawthorn,Plantae,179305,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Maleae,,Rhaphiolepis,,Rhaphiolepis indica,,,,,2019-03-11,2019-01-01,1,1
21150780,71cf5046-89fa-4a43-8a9e-45c5a7010c9d,Mon Mar 11 2019 09:26:42 GMT-0700 (PDT),2019-03-11,2019-03-12 01:26:42 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:38:32 +0900,2019-10-29 03:37:53 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150780,https://inaturalist-open-data.s3.amazonaws.com/photos/32696552/medium.jpg,,,,2,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41322167,-119.8429717,5,,,,5,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Rosemary,Salvia rosmarinus,Rosemary,Plantae,636795,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Mentheae,Salviinae,Salvia,,Salvia rosmarinus,,,,,2019-03-11,2019-01-01,1,1
21150861,100fc5ac-1c95-4abf-b5ce-2ed02e18624d,Mon Mar 11 2019 09:30:01 GMT-0700 (PDT),2019-03-11,2019-03-12 01:30:01 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:41:01 +0900,2019-05-04 15:58:44 +0900,research,CC-BY-NC,https://www.inaturalist.org/observations/21150861,https://inaturalist-open-data.s3.amazonaws.com/photos/32696573/medium.jpg,,,,2,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.41286333,-119.84217,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,California brittlebush,Encelia californica,California brittlebush,Plantae,64141,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Heliantheae,Enceliinae,Encelia,,Encelia californica,,,,,2019-03-11,2019-01-01,1,1
21150925,b38f58a1-7cac-49e4-9229-db955c1c6b31,Mon Mar 11 2019 09:30:33 GMT-0700 (PDT),2019-03-11,2019-03-12 01:30:33 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-03-12 03:43:50 +0900,2022-01-11 06:23:05 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/21150925,https://inaturalist-open-data.s3.amazonaws.com/photos/32696728/medium.jpg,,,,1,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41285333,-119.8421383,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Geranium family,Pelargonium,geraniums and storksbills,Plantae,72281,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,Pelargonium,,,,,,,2019-03-11,2019-01-01,1,1
22104602,c2da8633-3587-492e-8e83-d2cf0d774c04,Fri Mar 15 2019 09:49:01 GMT-0700 (PDT),2019-03-15,2019-03-16 01:49:01 +0900,Pacific Time (US & Canada),1521145,avanwinden,,2019-04-07 04:24:55 +0900,2019-08-31 07:58:42 +0900,casual,CC-BY-NC,https://www.inaturalist.org/observations/22104602,https://inaturalist-open-data.s3.amazonaws.com/photos/34218005/medium.jpg,,,,1,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.41523,-119.8471667,10,,,,10,,open,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Pride of Madeira,Echium candicans,Pride of Madeira,Plantae,57723,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Lithospermeae,,Echium,,Echium candicans,,,,,2019-03-15,2019-01-05,5,5
22303948,9f1390a6-8195-479e-8a27-eb9193a82ad5,Fri Mar 29 2019 18:52:35 GMT-0700 (PDT),2019-03-29,2019-03-30 10:52:35 +0900,Pacific Time (US & Canada),1134267,michellelee,,2019-04-11 08:33:21 +0900,2019-04-11 08:46:21 +0900,casual,,https://www.inaturalist.org/observations/22303948,https://static.inaturalist.org/photos/34542165/medium.jpg,,,,0,0,true,3,"University of California - Santa Barbara, Goleta, CA, US",34.412445,-119.8447333,25,,,,25,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,,Pittosporum tobira,Japanese cheesewood,Plantae,78592,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Pittosporaceae,,,,,Pittosporum,,Pittosporum tobira,,,,,2019-03-29,2019-01-19,19,19
22303976,90e6e418-9dc8-44a2-a8a3-a420c24c2284,Fri Mar 29 2019 18:09:36 GMT-0700 (PDT),2019-03-29,2019-03-30 10:09:36 +0900,Pacific Time (US & Canada),1134267,michellelee,,2019-04-11 08:34:05 +0900,2019-04-11 08:46:00 +0900,needs_id,,https://www.inaturalist.org/observations/22303976,https://static.inaturalist.org/photos/34542186/medium.jpg,,,,2,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.40747833,-119.8498467,165,,,,165,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,lupines,Lupinus,lupines,Plantae,47121,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Genisteae,,Lupinus,,,,,,,2019-03-29,2019-01-19,19,19
22303985,41161457-504d-4b46-bfc1-40151a37d87b,Fri Mar 29 2019 18:19:17 GMT-0700 (PDT),2019-03-29,2019-03-30 10:19:17 +0900,Pacific Time (US & Canada),1134267,michellelee,,2019-04-11 08:34:25 +0900,2019-05-04 13:42:58 +0900,research,,https://www.inaturalist.org/observations/22303985,https://static.inaturalist.org/photos/34542224/medium.jpg,,,,2,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.40759667,-119.84388,68,,,,68,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,California brittlebush,Encelia californica,California brittlebush,Plantae,64141,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Heliantheae,Enceliinae,Encelia,,Encelia californica,,,,,2019-03-29,2019-01-19,19,19
22304016,f66d5547-a8fc-4275-b4a9-871b9fe25ac1,Fri Mar 29 2019 18:11:26 GMT-0700 (PDT),2019-03-29,2019-03-30 10:11:26 +0900,Pacific Time (US & Canada),1134267,michellelee,,2019-04-11 08:35:21 +0900,2019-05-02 08:00:52 +0900,needs_id,,https://www.inaturalist.org/observations/22304016,https://static.inaturalist.org/photos/34542298/medium.jpg,,,,0,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.40901167,-119.8505867,5,,,,5,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,,Asteraceae,"sunflowers, daisies, asters, and allies",Plantae,47604,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,,,,,,,,,,,,2019-03-29,2019-01-19,19,19
22304039,3d73455a-d0cf-42e6-b045-51833f45e864,Fri Mar 29 2019 18:29:53 GMT-0700 (PDT),2019-03-29,2019-03-30 10:29:53 +0900,Pacific Time (US & Canada),1134267,michellelee,,2019-04-11 08:35:57 +0900,2019-04-13 13:06:13 +0900,needs_id,,https://www.inaturalist.org/observations/22304039,https://static.inaturalist.org/photos/34542313/medium.jpg,,,,0,0,false,3,"University of California - Santa Barbara, Goleta, CA, US",34.40816333,-119.8493117,5,,,,5,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,,Convolvulaceae,bindweed family,Plantae,52345,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Convolvulaceae,,,,,,,,,,,,2019-03-29,2019-01-19,19,19
